is_practice,cost,payoff_matrix,weights,trial_num,trial_nudge,nudge_index,nudge_type,participant_id,selected_option,gross_earnings,net_earnings,accepted_default,chose_nudge,uncovered_values,nudge,cot,source,fs,Unnamed: 0.1,Unnamed: 0,type,click_values,cost_matrix,weights_deviation,click_cost,experiment_type,og_baskets,actual_baskets,num_features,reaction_time,trial_type,trial_index,time_elapsed,points_click_cost,points_action_utility,points_metalevel_reward,n_prizes,n_baskets,idiosyncracy,n_uncovered,optimal_option
True,2,"[[3, 5, 5, 4, 5], [4, 3, 6, 5, 4]]","[23, 7]",1,control,2,default,514,0,0.03233333301,0.03166666635,False,False,[0],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,16.0,1,2
True,2,"[[6, 1], [8, 3], [7, 3], [4, 7], [4, 1]]","[9, 7, 9, 1, 4]",2,control,0,default,514,0,0.06433333269,0.06366666603,False,True,[0],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,2,14.0,1,0
False,2,"[[5, 4], [7, 5], [2, 6], [3, 5], [3, 4]]","[1, 11, 4, 12, 2]",3,control,1,default,514,0,0.0439999995599999,0.04266666624,False,False,"[2, 3]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,2,22.0,2,1
False,2,"[[4, 9], [7, 6]]","[19, 11]",4,default,1,default,514,1,0.0789999992099999,0.07766666589,False,True,"[0, 1]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,2,8.0,2,1
False,2,"[[5, 8], [8, 6]]","[21, 9]",5,control,1,default,514,1,0.0739999992599999,0.07266666594,False,True,"[0, 1]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,2,12.0,2,1
False,2,"[[6, 2], [4, 5], [4, 4], [6, 5], [7, 3]]","[5, 11, 4, 3, 7]",6,control,0,default,514,1,0.0389999996099999,0.03766666629,False,False,"[2, 3]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,2,12.0,2,0
False,2,"[[4, 9, 2, 5, 3], [5, 4, 4, 3, 4]]","[16, 14]",7,default,1,default,514,1,0.066666666,0.06533333268,False,True,"[1, 6]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,2.0,2,1
False,2,"[[4, 5], [4, 5], [5, 6], [7, 6], [7, 6]]","[5, 8, 1, 9, 7]",8,default,1,default,514,1,0.05566666611,0.05566666611,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,2,12.0,0,0
False,2,"[[4, 7], [5, 4], [5, 4], [4, 7], [6, 4]]","[8, 4, 4, 10, 4]",9,default,1,default,514,1,0.05799999942,0.05799999942,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,2,12.0,0,1
False,2,"[[5, 5, 5, 5, 5], [5, 5, 4, 2, 5], [4, 3, 7, 3, 4], [5, 5, 6, 5, 5], [4, 7, 2, 4, 4]]","[3, 2, 2, 13, 10]",10,default,1,default,514,1,0.0553333327799999,0.05466666612,False,True,[16],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,5,22.0,1,1
False,2,"[[2, 4, 6, 7, 4], [4, 5, 7, 3, 2], [6, 3, 6, 2, 6], [6, 6, 5, 9, 3], [5, 8, 7, 1, 5]]","[3, 6, 10, 9, 2]",11,control,2,default,514,2,0.05966666607,0.05899999941,False,True,[12],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,5,14.0,1,2
False,2,"[[2, 6], [6, 4]]","[25, 5]",12,default,1,default,514,1,0.0566666661,0.0566666661,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,2,20.0,0,1
False,2,"[[1, 7], [4, 5], [8, 6], [7, 8], [4, 3]]","[20, 2, 5, 1, 2]",13,default,1,default,514,1,0.06466666602,0.0633333327,False,True,"[0, 1]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,2,28.0,2,1
False,2,"[[8, 5, 3, 6, 9], [2, 5, 7, 8, 7]]","[4, 26]",14,control,4,default,514,1,0.0499999994999999,0.04866666618,False,False,"[5, 6]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,22.0,2,3
False,2,"[[4, 6, 2, 5, 5], [3, 2, 4, 6, 4], [6, 5, 5, 5, 6], [4, 1, 5, 4, 4], [2, 9, 5, 4, 3]]","[6, 18, 2, 2, 2]",15,default,3,default,514,3,0.05466666612,0.05466666612,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,5,24.0,0,3
False,2,"[[5, 5, 4, 5, 5], [0, 8, 4, 7, 1]]","[21, 9]",16,default,1,default,514,1,0.05899999941,0.05899999941,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,12.0,0,1
False,2,"[[7, 5, 4, 4, 5], [4, 6, 4, 8, 3]]","[5, 25]",17,default,3,default,514,3,0.0733333326,0.07266666594,False,True,[8],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,20.0,1,3
False,2,"[[2, 5, 3, 4, 4], [6, 5, 4, 5, 5], [6, 4, 5, 7, 6], [4, 7, 7, 7, 6], [7, 6, 7, 4, 2]]","[7, 7, 8, 6, 2]",18,control,1,default,514,2,0.04833333285,0.04766666619,False,False,[12],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,5,8.0,1,3
False,2,"[[5, 7, 5, 4, 6], [1, 5, 3, 5, 7]]","[19, 11]",19,default,4,default,514,4,0.06366666603,0.06366666603,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,8.0,0,4
False,2,"[[7, 4, 3, 5, 5], [4, 7, 6, 8, 7]]","[28, 2]",20,control,3,default,514,2,0.03199999968,0.03133333302,False,False,[2],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,26.0,1,0
False,2,"[[7, 4, 8, 4, 4], [3, 7, 7, 3, 6]]","[1, 29]",21,control,2,default,514,1,0.0689999993099999,0.06766666599,False,False,"[5, 6]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,5,28.0,2,2
False,2,"[[4, 7], [3, 6]]","[3, 27]",22,control,1,default,514,1,0.06099999939,0.05966666607,False,True,"[2, 3]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,2,24.0,2,1
False,2,"[[3, 7], [9, 5], [6, 6], [6, 4], [4, 4]]","[14, 2, 7, 1, 6]",23,default,0,default,514,0,0.0439999995599999,0.0439999995599999,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,2,18.0,0,1
False,2,"[[3, 4], [6, 3]]","[4, 26]",24,control,0,default,514,0,0.0559999994399999,0.05466666612,False,True,"[2, 3]",default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,2,2,22.0,2,0
False,2,"[[6, 3, 5, 7, 5], [3, 7, 6, 4, 3], [6, 1, 7, 6, 1], [7, 3, 6, 4, 8], [9, 6, 6, 5, 6]]","[1, 10, 7, 11, 1]",25,default,0,default,514,0,0.05466666612,0.05466666612,True,True,[],default,False,gemini/gemini-1.5-pro,12,,,,,,,,,,,,,,,,,,,5,5,20.0,0,2
