is_practice,is_control,cost_matrix,payoff_matrix,weights,trial_num,nudge_index,trial_type,participant_id,selected_option,gross_earnings,net_earnings,uncovered_values,completion_tokens,prompt_tokens,total_tokens,reasoning_tokens,sum_reasoning_tokens,mean_reasoning_tokens,nudge,cot,source,fs,Unnamed: 0,type,original_item_cost,highlight_cost,click_values,original_cost_matrix,final_cost_matrix,highlight_weight,weights_deviation,click_cost,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,highlight_index,selected_option_highlight_value,trial_index,time_elapsed,nudge_highlighted_values_are_even,highlight_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight_check,highlight_num_reveals,weights_sum,n_prizes,n_baskets,idiosyncracy,n_uncovered,highlight_reveals,is_first_index_nudged,optimal_option
True,False,"[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[4, 6, 4, 4, 3], [3, 6, 1, 5, 5], [3, 6, 6, 4, 5]]","[1, 21, 8]",1,1,traffic-light-mouselab,118,1,0.0599999994,0.0573333327599999,"[5, 6, 7, 8, 9, 11]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,5,22.0,6,5,True,1
True,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[5, 6, 2, 7, 5], [4, 8, 1, 7, 7], [5, 3, 3, 5, 4]]","[10, 6, 14]",2,2,traffic-light-mouselab,118,3,0.06066666606,0.05366666613,"[10, 11, 12, 13, 14, 0, 3]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,5,8.0,7,5,True,3
False,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[4, 8, 2, 4, 7], [9, 4, 6, 4, 7], [7, 7, 3, 3, 7]]","[25, 1, 4]",3,0,traffic-light-mouselab,118,1,0.07733333256,0.07233333261,"[0, 1, 2, 3, 4]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,3,5,30.0,5,5,True,1
False,False,"[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[4, 4, 4, 5, 5], [6, 4, 7, 5, 4], [6, 6, 6, 5, 7]]","[16, 1, 13]",4,0,traffic-light-mouselab,118,4,0.0583333327499999,0.05466666612,"[0, 1, 2, 3, 4, 13, 14]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,5,18.0,7,5,True,4
False,False,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[[6, 3, 4, 5, 3], [7, 4, 4, 5, 7], [4, 4, 6, 7, 7]]","[21, 1, 8]",5,2,traffic-light-mouselab,118,3,0.0553333327799999,0.05066666616,"[10, 11, 12, 13, 14, 3, 4, 2]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,5,22.0,8,5,True,3
False,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[7, 2, 7, 6, 5], [5, 5, 4, 7, 6], [9, 6, 4, 5, 6]]","[19, 10, 1]",6,0,traffic-light-mouselab,118,0,0.06399999936,0.0569999994299999,"[0, 1, 2, 3, 4, 5, 7]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,5,18.0,7,5,True,0
False,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[3, 8, 4, 3, 3], [4, 4, 4, 7, 4], [5, 5, 5, 3, 10]]","[13, 4, 13]",7,2,traffic-light-mouselab,118,1,0.06166666605,0.05166666615,"[0, 1, 2, 3, 4, 10, 11, 12, 13, 14]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,5,12.0,10,5,False,1
False,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[6, 7, 7, 4, 7], [6, 6, 3, 5, 4], [5, 2, 6, 2, 6]]","[17, 6, 7]",8,0,traffic-light-mouselab,118,2,0.05966666607,0.05166666615,"[0, 1, 2, 3, 4, 11, 12, 14]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,5,14.0,8,5,True,4
False,False,"[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[8, 5, 3, 7, 6], [8, 3, 2, 7, 5], [4, 6, 6, 9, 4]]","[20, 7, 3]",9,0,traffic-light-mouselab,118,0,0.0759999992399999,0.07433333259,"[0, 1, 2, 3, 4]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,3,5,20.0,5,5,True,0
False,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[2, 5, 4, 3, 8], [6, 5, 4, 5, 6], [3, 5, 7, 7, 6]]","[9, 8, 13]",10,0,traffic-light-mouselab,118,2,0.0529999994699999,0.0439999995599999,"[10, 11, 12, 13, 14, 2, 3, 7, 8]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,3,5,6.0,9,2,False,4
False,False,"[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[[6, 6, 3, 6, 4], [5, 4, 5, 4, 5], [6, 6, 8, 4, 3]]","[6, 12, 12]",11,1,traffic-light-mouselab,118,2,0.05799999942,0.0533333327999999,"[5, 6, 7, 8, 9, 10, 12, 14]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,5,8.0,8,5,True,2
False,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[5, 5, 6, 6, 7], [8, 6, 6, 6, 4], [4, 4, 4, 4, 6]]","[2, 1, 27]",12,2,traffic-light-mouselab,118,4,0.0599999994,0.0549999994499999,"[10, 11, 12, 13, 14]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,5,34.0,5,5,True,4
False,True,"[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[4, 8, 5, 4, 7], [6, 6, 3, 5, 6], [4, 5, 6, 4, 7]]","[8, 7, 15]",13,2,traffic-light-mouselab,118,4,0.06766666599,0.06066666606,"[10, 11, 12, 13, 14, 4, 2]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,5,10.0,7,5,True,4
False,False,"[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[[4, 2, 7, 7, 4], [7, 6, 0, 5, 6], [4, 4, 4, 5, 6]]","[4, 10, 16]",14,0,traffic-light-mouselab,118,3,0.05266666614,0.0489999995099999,"[0, 1, 2, 3, 4, 12, 13]",[],[],[],[],0.0,0.0,highlight,False,gemini/gemini-2.5-pro,0,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,5,12.0,7,5,True,4
